fbref_id,tm_id,PlayerFBref,TmPos,UrlTmarkt
d9624b51,163639,Federico Ceccherini,Centre-Back,https://www.transfermarkt.com/federico-ceccherini/profil/spieler/163639
b0f7e36c,341092,Federico Chiesa,Right Winger,https://www.transfermarkt.com/federico-chiesa/profil/spieler/341092
1fca9171,38607,Federico Di Francesco,Left Winger,https://www.transfermarkt.com/federico-di-francesco/profil/spieler/38607
970b8574,198116,Federico Dimarco,Centre-Back,https://www.transfermarkt.com/federico-dimarco/profil/spieler/198116
a74d2999,119369,Federico Dionisi,Centre-Forward,https://www.transfermarkt.com/federico-dionisi/profil/spieler/119369
4e358a2d,45314,Federico Fazio,Centre-Back,https://www.transfermarkt.com/federico-fazio/profil/spieler/45314
f25b010f,85475,Federico FernÃ¡ndez,Centre-Back,https://www.transfermarkt.com/federico-fernandez/profil/spieler/85475
18dd3219,509022,Federico Gatti,Centre-Back,https://www.transfermarkt.com/federico-gatti/profil/spieler/509022
66a9470c,459504,Federico Marigosu,Attacking Midfield,https://www.transfermarkt.com/federico-marigosu/profil/spieler/459504
fba81826,200194,Federico Mattiello,Right-Back,https://www.transfermarkt.com/federico-mattiello/profil/spieler/200194
434cf5b7,146096,Federico Palacios MartÃ­nez,Second Striker,https://www.transfermarkt.com/federico-palacios/profil/spieler/146096
4f2908e5,21763,Federico Peluso,Centre-Back,https://www.transfermarkt.com/federico-peluso/profil/spieler/21763
54f5ce34,285322,Federico Ricca,Left-Back,https://www.transfermarkt.com/federico-ricca/profil/spieler/285322
524eb8c5,198086,Federico Ricci,Right Winger,https://www.transfermarkt.com/federico-ricci/profil/spieler/198086
df85d472,99180,Federico Santander,Centre-Forward,https://www.transfermarkt.com/federico-santander/profil/spieler/99180
0959c2a2,369081,Federico Valverde,Central Midfield,https://www.transfermarkt.com/fede-valverde/profil/spieler/369081
2258c078,165900,Federico Viviani,Defensive Midfield,https://www.transfermarkt.com/federico-viviani/profil/spieler/165900
0c35d28d,392500,Felice D'Amico,Left Winger,https://www.transfermarkt.com/felice-damico/profil/spieler/392500
de164de6,68815,Felipe,Centre-Back,https://www.transfermarkt.com/felipe/profil/spieler/68815
51a3c4c8,156501,Felipe,Centre-Back,https://www.transfermarkt.com/felipe/profil/spieler/156501
9f1893b9,159372,Felipe Anderson,Right Winger,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372
23f9e9d3,216375,Felipe Avenatti,Centre-Forward,https://www.transfermarkt.com/felipe-avenatti/profil/spieler/216375
93b891d1,37834,Felipe Caicedo,Centre-Forward,https://www.transfermarkt.com/felipe-caicedo/profil/spieler/37834
8913a9f9,331467,Felipe Curcio,Left-Back,https://www.transfermarkt.com/felipe-curcio/profil/spieler/331467
0412b9cd,425462,Felipe Vizeu,Centre-Forward,https://www.transfermarkt.com/felipe-vizeu/profil/spieler/425462
8cea6319,17127,Felipe dal Belo,Centre-Back,https://www.transfermarkt.com/felipe/profil/spieler/17127
0154d290,872380,Felix Afena-Gyan,Centre-Forward,https://www.transfermarkt.com/felix-afena-gyan/profil/spieler/872380
cb6d81b3,393512,Felix Agu,Right-Back,https://www.transfermarkt.com/felix-agu/profil/spieler/393512
ee7cdd0c,330635,Felix GÃ¶tze,Defensive Midfield,https://www.transfermarkt.com/felix-gotze/profil/spieler/330635
091c86e2,406640,Felix Kalu Nmecha,Attacking Midfield,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640
aeda1f69,89591,Felix Klaus,Right Winger,https://www.transfermarkt.com/felix-klaus/profil/spieler/89591
4d7faad1,31910,Felix Kroos,Central Midfield,https://www.transfermarkt.com/felix-kroos/profil/spieler/31910
5c899683,274461,Felix Passlack,Right-Back,https://www.transfermarkt.com/felix-passlack/profil/spieler/274461
e4e0deaa,638649,Femi Seriki,Right-Back,https://www.transfermarkt.com/femi-seriki/profil/spieler/638649
3cefcaef,291417,Ferland Mendy,Left-Back,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417
b20cc590,413245,Fernand Mayembo,Centre-Back,https://www.transfermarkt.com/fernand-mayembo/profil/spieler/413245
101da2b5,26267,Fernandinho,Defensive Midfield,https://www.transfermarkt.com/fernandinho/profil/spieler/26267
