age_y,std_Min_Playing,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,score_style,ability,style_confidence,npxG90,xAG90,SCA90,PrgPass90,PrgCarry90,TakeOn90,TklInt90,AttPenT90,KP90,PassPct,AerPct,MinPct,has_prev,d_ability,d_grp_prod,d_grp_progress,d_grp_chance,d_grp_stability,d_grp_defense,d_npxG90,d_xAG90,d_SCA90,d_PrgCarry90,d_PrgPass90,d_MinPct,d_std_Min_Playing,pos_DF,pos_FW,pos_MF,sty_공격형 MF,sty_공격형 풀백,sty_돌파형 윙어,sty_딥 플레이메이커,sty_박스 포처,sty_볼 운반형,sty_빌드업 수비수,sty_수비형 파괴자,sty_스토퍼,sty_연결형 공격수,sty_타겟맨,fbref_id,season,survived,fut_ability_v2
23.0,1674.0,58.1,47.8,84.6,23.4,69.8,54.7,58.8,56.8,0.81,0.026881720430107524,0.09139784946236558,1.7741935483870965,3.6559139784946235,3.8172043010752685,1.3440860215053763,4.731182795698924,0.3763440860215054,1.129032258064516,65.2,60.50000000000001,48.89999999999999,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06050480,2018,0,
23.0,1203.0,62.5,47.0,61.0,53.4,55.8,57.5,59.1,58.3,0.71,0.3067331670822942,0.14214463840399003,2.6184538653366585,1.5710723192019949,2.8428927680798,1.2718204488778055,1.795511221945137,4.788029925187033,0.8977556109725685,73.6,45.89999999999999,39.3,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,061e8e23,2018,1,47.6
22.0,1747.0,23.7,15.4,26.1,25.3,42.7,24.6,24.1,24.4,0.53,0.1906124785346308,0.046365197481396676,1.8546078992558672,1.3394390383514596,0.7727532913566113,0.4636519748139668,0.9273039496279336,3.2455638236977675,0.8242701774470521,62.97538461538461,44.63384615384616,26.28952489982828,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,06f33dc8,2018,0,
23.0,2991.0,29.3,45.9,28.7,55.1,52.3,42.8,44.0,43.4,0.18,0.03610832497492478,0.07522567703109327,1.7753259779338013,4.543630892678034,3.58074222668004,1.1434302908726177,3.2497492477432295,0.6018054162487462,0.8425275827482447,80.1948795180723,52.06777108433735,76.04530257438984,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,070a3904,2018,1,39.7
23.0,1317.0,37.1,21.2,14.0,62.5,66.0,49.5,58.7,54.1,1.46,0.02050113895216401,0.0,0.0,2.050113895216401,1.2984054669703873,0.0,3.485193621867882,0.683371298405467,0.0,80.5,69.8,38.5,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0821331c,2018,1,59.75
19.0,1233.0,32.3,40.5,27.8,40.7,68.2,40.9,53.4,47.2,0.01,0.05839416058394161,0.06569343065693431,1.6058394160583942,3.1386861313868613,3.2846715328467155,0.8759124087591241,3.0656934306569346,1.4598540145985401,0.8029197080291971,75.0,60.60000000000001,36.1,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0959c2a2,2018,1,59.5
22.0,1488.0,26.8,23.4,14.1,52.7,40.0,30.4,38.7,34.6,0.11,0.042338709677419345,0.012096774193548387,1.2096774193548385,2.1774193548387095,2.9637096774193545,0.6653225806451613,2.721774193548387,0.6048387096774193,0.36290322580645157,83.62108433734939,38.97891566265059,24.31639784946236,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0984c5d5,2018,0,
20.0,1590.0,43.5,45.9,65.3,34.0,62.3,51.3,52.0,51.6,0.09,0.005660377358490566,0.08490566037735849,0.9622641509433961,3.5660377358490565,2.0377358490566038,0.5094339622641509,4.471698113207547,0.6792452830188679,0.45283018867924524,70.2,56.8,46.5,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,099e666f,2018,1,48.7
20.0,1268.0,68.3,81.2,88.1,17.6,63.6,58.3,68.6,63.4,0.68,0.05678233438485805,0.09227129337539433,2.1293375394321767,4.968454258675079,7.807570977917981,0.638801261829653,4.116719242902208,3.194006309148265,0.9227129337539433,71.7,51.3,41.4,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0a89e877,2018,0,
20.0,919.0,47.0,59.0,44.5,29.7,55.9,48.1,50.6,49.4,1.13,0.4015233949945593,0.019586507072905334,2.5462459194776934,1.5669205658324266,4.309031556039173,2.35038084874864,2.1545157780195865,4.015233949945594,0.29379760609358,75.5,20.8,30.0,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0b4f388a,2018,1,64.1
21.0,1554.0,68.2,51.6,41.9,44.2,52.8,55.7,51.3,53.5,0.03,0.44015444015444016,0.09266409266409267,2.258687258687259,1.4478764478764479,3.06949806949807,1.1583011583011584,1.1583011583011584,4.054054054054054,0.5791505791505792,77.7,35.9,45.39999999999999,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0b90bb97,2018,1,43.55
23.0,1355.0,77.9,65.1,97.6,33.5,7.4,38.0,58.2,48.1,3.06,0.07970479704797048,0.0996309963099631,2.7232472324723247,2.856088560885609,6.442804428044281,2.988929889298893,2.4575645756457565,2.5904059040590406,1.4612546125461254,78.9,30.0,39.6,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0cd0e21b,2018,0,
23.0,2377.0,65.5,51.0,32.4,22.9,76.1,47.6,56.4,52.0,1.63,0.1779554059739167,0.07572570466975179,2.158182583087926,4.278502313840976,2.877576777450568,2.0824568784181743,4.732856541859487,2.385359697097181,0.6815313420277661,68.2,53.6,69.5,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0d10333c,2018,0,
21.0,1440.0,34.0,28.3,33.5,55.4,25.0,34.5,36.6,35.6,1.57,0.01875,0.00625,0.5,2.0,2.625,0.0625,2.125,0.5,0.25,87.7,50.0,42.1,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0eb03d5b,2018,0,
20.0,949.0,90.3,54.0,69.4,11.9,34.5,51.2,52.4,51.8,0.4,0.41728134878819817,0.20864067439409908,3.03477344573235,0.9483667017913593,8.345626975763961,1.9915700737618547,2.4657534246575343,4.267650158061117,1.2328767123287672,65.2,36.4,31.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0f26fd24,2018,0,
23.0,1664.0,54.2,52.5,47.7,53.1,65.1,53.8,58.8,56.3,0.15,0.21093750000000003,0.07031250000000001,2.2716346153846154,4.759615384615385,3.948317307692308,0.6490384615384616,2.8665865384615388,2.4879807692307696,0.811298076923077,81.8,45.5,54.39999999999999,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0fbecd11,2018,1,56.25
19.0,910.0,37.4,64.5,56.5,23.3,34.0,39.8,47.5,43.6,1.6,0.009890109890109891,0.039560439560439566,1.087912087912088,3.4615384615384617,5.241758241758242,1.7802197802197803,2.868131868131868,0.5934065934065934,0.7912087912087913,70.0,25.0,26.6,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10e7f486,2018,1,56.25
23.0,2516.0,46.7,59.4,49.3,73.6,56.8,60.3,61.5,60.9,0.25,0.02861685214626391,0.03577106518282989,0.6081081081081081,4.829093799682035,4.077901430842608,0.07154213036565978,2.861685214626391,0.6081081081081081,0.321939586645469,86.425,70.16428571428571,41.54276629570747,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119b9a8e,2018,1,56.349999999999994
20.0,2919.0,71.2,29.8,13.3,65.1,34.9,41.1,41.9,41.5,0.56,0.0801644398766701,0.006166495375128469,0.30832476875642345,1.7266187050359714,2.4665981500513876,0.12332990750256939,1.8499486125385407,1.2641315519013363,0.061664953751284696,89.1,65.9,85.4,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1232e1dc,2018,1,58.2
22.0,1886.0,53.7,34.2,38.4,27.6,58.5,44.6,48.8,46.7,0.52,0.32926829268292684,0.09544008483563096,2.2905620360551433,0.7158006362672322,2.1951219512195124,1.0975609756097562,0.7158006362672322,4.867444326617179,0.6680805938494168,60.89999999999999,46.5,61.6,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1238a3f9,2018,1,26.9
22.0,2074.0,82.0,65.5,86.4,27.1,38.3,60.4,62.9,61.6,0.33,0.195274831243973,0.1909353905496625,4.1658630665380905,3.3847637415621987,8.288331726133077,1.9961427193828352,2.6036644165863065,3.3847637415621987,1.8225650916104146,76.2,31.3,60.6,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130a7a3f,2018,1,58.6
21.0,1920.0,49.4,62.7,82.0,25.4,47.3,48.5,57.5,53.0,1.28,0.009375000000000001,0.0890625,1.6875,3.84375,5.109375,1.3125,5.15625,0.796875,0.796875,71.7,46.2,56.1,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13c44fc5,2018,0,
19.0,903.0,49.4,51.6,80.8,21.3,16.8,32.9,47.2,40.0,2.04,0.01993355481727575,0.08970099667774087,1.7940199335548173,3.089700996677741,4.983388704318937,1.3953488372093024,1.9933554817275747,0.6976744186046512,1.196013289036545,69.2,35.7,26.399999999999995,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149c5f5d,2018,1,48.7
