fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability,fut_year,fut_ability,survived
00459419,Marko Arnautović,2019,FW,29.0,1990.0,West Ham,Premier League,True,74.1,51.2,64.4,52.4,39.4,61.9,박스 포처,0.36,64.7,63.3,2022.0,56.2,1
00528660,Filippo Costa,2018,DF,22.0,1473.0,SPAL,Serie A,True,47.6,52.2,82.4,20.6,35.5,40.4,공격형 풀백,1.84,51.2,45.8,,,0
005c0807,Zinedine Ferhat,2020,MF,26.0,2246.0,Nîmes,Ligue 1,True,69.5,60.1,77.8,16.8,42.8,53.8,공격형 MF,0.24,63.0,58.4,,,0
0076ab7f,Nemanja Gudelj,2020,MF,27.0,1216.0,Sevilla,La Liga,True,13.9,24.3,6.9,72.2,71.5,35.9,수비형 파괴자,0.47,58.5,47.2,2022.0,58.2,1
007b39a5,Onel Hernández,2020,MF,26.0,1384.0,Norwich City,Premier League,True,58.1,52.3,51.8,18.2,34.6,43.6,볼 운반형,1.05,45.9,44.8,,,0
00844823,Niklas Moisander,2018,DF,31.0,2250.0,Werder Bremen,Bundesliga,True,68.1,73.4,38.0,65.4,55.4,60.4,빌드업 수비수,0.83,63.6,62.0,2021.0,57.2,1
00844823,Niklas Moisander,2019,DF,32.0,2637.0,Werder Bremen,Bundesliga,True,33.1,73.1,52.9,59.1,44.0,53.9,빌드업 수비수,0.81,59.0,56.4,2021.0,57.2,1
00844823,Niklas Moisander,2020,DF,33.0,1979.0,Werder Bremen,Bundesliga,True,55.8,76.7,41.6,62.9,53.7,59.5,빌드업 수비수,0.59,63.4,61.4,,,0
008a6e6d,Ragnar Klavan,2018,DF,31.0,1451.0,Liverpool,Premier League,True,51.4,54.1,52.0,76.6,50.3,57.9,스토퍼,0.43,57.3,57.6,2020.0,42.8,1
008a6e6d,Ragnar Klavan,2019,DF,32.0,1230.0,Cagliari,Serie A,True,25.0,37.8,27.1,63.5,48.7,46.9,스토퍼,0.36,50.2,48.6,,,0
008a6e6d,Ragnar Klavan,2020,DF,33.0,2354.0,Cagliari,Serie A,True,38.8,28.6,21.7,72.4,35.1,42.0,스토퍼,0.24,43.6,42.8,,,0
00a6485f,Andreas Beck,2018,DF,30.0,1927.0,Stuttgart,Bundesliga,True,49.5,54.7,66.9,22.4,34.9,39.7,공격형 풀백,1.02,48.4,44.0,,,0
00a6485f,Andreas Beck,2019,DF,31.0,1776.0,Stuttgart,Bundesliga,True,55.8,38.1,67.3,30.2,31.0,37.1,공격형 풀백,0.75,44.6,40.8,,,0
00b0bb87,Fabrizio Cacciatore,2018,DF,30.0,2871.0,Chievo,Serie A,True,68.4,71.7,90.9,36.9,43.7,53.6,공격형 풀백,0.76,65.3,59.4,2020.0,43.2,1
00b0bb87,Fabrizio Cacciatore,2019,DF,31.0,1077.0,Cagliari / Chievo,Serie A,True,49.7,62.9,87.2,42.1,23.8,43.8,공격형 풀백,0.65,56.7,50.2,,,0
00b0bb87,Fabrizio Cacciatore,2020,DF,32.0,1153.0,Cagliari,Serie A,True,41.3,54.3,59.4,38.2,28.4,39.8,공격형 풀백,0.34,46.7,43.2,,,0
00b28772,Nemanja Maksimović,2019,MF,23.0,3209.0,Getafe,La Liga,True,26.1,10.1,10.3,46.3,74.0,29.4,수비형 파괴자,0.71,51.9,40.6,2022.0,42.0,1
00b28772,Nemanja Maksimović,2020,MF,24.0,2895.0,Getafe,La Liga,True,40.5,11.0,12.8,46.4,61.2,30.4,수비형 파괴자,0.24,46.5,38.4,2022.0,42.0,1
0118c54c,Anthony Caci,2019,DF,21.0,2298.0,Strasbourg,Ligue 1,True,28.0,58.6,54.5,34.7,41.4,43.8,빌드업 수비수,0.03,46.0,44.9,2022.0,58.8,1
01226327,Ryan Bertrand,2018,DF,27.0,3135.0,Southampton,Premier League,True,65.0,70.9,85.2,38.7,34.8,49.6,공격형 풀백,1.35,61.8,55.7,2021.0,44.0,1
01226327,Ryan Bertrand,2019,DF,28.0,2160.0,Southampton,Premier League,True,55.6,49.3,74.3,27.6,38.7,42.4,공격형 풀백,1.42,50.8,46.6,2021.0,44.0,1
01226327,Ryan Bertrand,2020,DF,29.0,2742.0,Southampton,Premier League,True,64.6,64.1,70.3,27.5,36.2,44.4,공격형 풀백,1.11,54.6,49.5,,,0
