,2018,2019,2020,2021,2022,2023,min_coverage
gca_Fld_GCA,0.999,1.0,1.0,1.0,1.0,0.99,0.99
gca_PassDead_GCA,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Blocks_Blocks,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Att_Vs,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Att_3rd_Tackles,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Tkl_Vs,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Def_3rd_Tackles,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Mid_3rd_Tackles,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Tkl_Tackles,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Past_Vs,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Err,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Sh_Blocks,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Pass_Blocks,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Tkl_plus_Int,0.999,1.0,1.0,1.0,1.0,0.99,0.99
def_Clr,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pos_Att_Dribbles,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pas_Cmp_Medium,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pas_Att_Medium,0.999,1.0,1.0,1.0,1.0,0.99,0.99
msc_Recov,0.999,1.0,1.0,1.0,1.0,0.99,0.99
msc_PKcon,0.999,1.0,1.0,0.999,1.0,0.99,0.99
msc_Lost_Aerial,0.999,1.0,1.0,1.0,1.0,0.99,0.99
msc_PKwon,0.999,1.0,1.0,0.999,1.0,0.99,0.99
pt_onxGA_Team_Success_xG,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pt_xGplus_per_minus_Team_Success_xG,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pt_xGplus_per_minus_90_Team_Success_xG,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pt_onxG_Team_Success_xG,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pas_Cmp_Short,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pas_Att_Short,0.999,1.0,1.0,1.0,1.0,0.99,0.99
msc_Won_Aerial,0.999,1.0,1.0,1.0,1.0,0.99,0.99
pas_TotDist_Total,0.999,1.0,1.0,1.0,1.0,0.99,0.99
sho_Sh_per_90_Standard,0.999,1.0,1.0,1.0,1.0,0.991,0.991
def_TklW_Tackles,0.999,1.0,1.0,1.0,1.0,0.991,0.991
pt_plus_per_minus_90_Team_Success,0.999,1.0,1.0,1.0,1.0,0.991,0.991
pt_PPM_Team_Success,0.999,1.0,1.0,1.0,1.0,0.991,0.991
msc_Fls,1.0,1.0,1.0,1.0,1.0,0.991,0.991
msc_OG,0.995,1.0,1.0,1.0,1.0,0.991,0.991
pas_Ast,1.0,1.0,1.0,1.0,1.0,0.991,0.991
sho_SoT_per_90_Standard,1.0,1.0,1.0,1.0,1.0,0.991,0.991
def_Int,0.999,1.0,1.0,1.0,1.0,0.991,0.991
msc_2CrdY,0.997,1.0,1.0,1.0,1.0,0.991,0.991
pt_plus_per_minus_Team_Success,0.999,1.0,1.0,1.0,1.0,0.991,0.991
pt_onGA_Team_Success,0.999,1.0,1.0,1.0,1.0,0.991,0.991
pt_onG_Team_Success,0.999,1.0,1.0,1.0,1.0,0.991,0.991
msc_Fld,0.999,1.0,1.0,1.0,1.0,0.991,0.991
msc_Off,0.997,1.0,1.0,1.0,1.0,0.991,0.991
msc_Crs,0.999,1.0,1.0,1.0,1.0,0.991,0.991
pt_Mn_per_MP_Playing_Time,1.0,1.0,1.0,1.0,1.0,0.991,0.991
pt_Min_percent_Playing_Time,1.0,1.0,1.0,1.0,1.0,0.991,0.991
sho_SoT_Standard,1.0,1.0,1.0,1.0,1.0,0.991,0.991
sho_Sh_Standard,0.999,1.0,1.0,1.0,1.0,0.991,0.991
std_xG_Per,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_npxG_plus_xAG_Expected,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_xAG_Per,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_npxG_Expected,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_xG_Expected,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_xAG_Expected,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_npxG_plus_xAG_Per,0.999,1.0,0.999,0.998,0.999,0.999,0.998
std_xG_plus_xAG_Per,0.999,1.0,0.999,0.998,0.999,0.999,0.998
