fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability
1512328c,Keko,2019,MF,26.0,1533.0,Valladolid,La Liga,True,63.4,51.5,49.2,16.4,38.5,43.8,볼 운반형,0.36,45.6,44.7
1519a888,Rajko Brežančić,2019,DF,28.0,67.0,Huesca,La Liga,False,31.4,23.2,8.2,26.2,17.3,20.5,공격형 풀백,0.17,19.5,20.0
1522dab2,Davide Astori,2018,DF,30.0,2250.0,Fiorentina,Serie A,True,49.9,61.4,39.6,60.8,70.5,62.2,스토퍼,0.13,66.0,64.1
15413fa5,Salih Özcan,2018,MF,19.0,1670.0,Köln,Bundesliga,True,28.2,44.2,46.5,37.9,81.9,46.6,수비형 파괴자,1.74,60.8,53.7
15413fa5,Salih Özcan,2021,MF,22.0,1371.0,Köln,Bundesliga,True,33.3,33.5,28.0,33.6,64.4,37.0,수비형 파괴자,0.64,48.7,42.8
15413fa5,Salih Özcan,2022,MF,23.0,2312.0,Köln,Bundesliga,True,38.3,50.0,31.9,51.4,87.4,50.5,수비형 파괴자,0.96,67.6,59.0
15413fa5,Salih Özcan,2023,MF,24.0,684.0,Dortmund,Bundesliga,True,34.6,32.2,23.3,48.9,59.4,38.2,수비형 파괴자,0.33,49.7,44.0
1544f145,Jacob Ramsey,2021,MF,19.0,626.0,Aston Villa,Premier League,True,31.6,36.8,29.6,46.7,40.3,37.1,공격형 MF,0.3,34.3,35.7
1544f145,Jacob Ramsey,2022,MF,20.0,2467.0,Aston Villa,Premier League,True,56.9,56.4,36.0,45.2,45.7,48.6,볼 운반형,0.32,49.6,49.1
1544f145,Jacob Ramsey,2023,MF,21.0,863.0,Aston Villa,Premier League,True,54.6,45.4,44.7,40.3,52.8,46.7,수비형 파괴자,0.3,48.2,47.4
1545cf15,Houboulang Mendes,2021,DF,22.0,1297.0,Lorient,Ligue 1,True,24.8,36.5,43.8,20.3,39.4,33.8,공격형 풀백,1.51,35.3,34.6
1545cf15,Houboulang Mendes,2022,DF,23.0,3220.0,Lorient,Ligue 1,True,49.0,36.7,43.9,40.1,46.1,42.6,공격형 풀백,0.52,42.1,42.4
1545cf15,Houboulang Mendes,2023,DF,24.0,408.0,Almería,La Liga,False,54.8,25.2,69.1,17.6,34.9,33.1,공격형 풀백,1.09,39.9,36.5
1566e437,Kyle Edwards,2021,MF,22.0,118.0,West Brom,Premier League,False,41.7,50.4,2.8,47.9,34.4,36.7,볼 운반형,0.74,38.0,37.4
15781606,Víctor Rodríguez,2021,MF,31.0,426.0,Elche,La Liga,False,34.7,56.3,24.0,65.2,56.1,48.3,딥 플레이메이커,0.12,49.3,48.8
157d29b6,Diego Farias,2018,FW,27.0,1609.0,Cagliari,Serie A,True,40.5,66.4,53.7,41.4,51.3,49.5,돌파형 윙어,0.98,54.0,51.8
157d29b6,Diego Farias,2019,FW,28.0,1893.0,Empoli / Cagliari,Serie A,True,64.9,64.8,65.9,54.4,28.9,60.5,돌파형 윙어,0.21,61.0,60.8
157d29b6,Diego Farias,2020,MF,29.0,824.0,Lecce,Serie A,True,70.3,70.8,83.4,35.2,14.1,57.6,공격형 MF,0.4,68.0,62.8
157d29b6,Diego Farias,2021,FW,30.0,1514.0,Spezia,Serie A,True,38.8,71.5,69.6,66.4,43.5,54.7,연결형 공격수,0.44,60.5,57.6
157d29b6,Diego Farias,2022,MF,31.0,66.0,Cagliari,Serie A,False,18.1,43.6,21.6,59.2,35.7,37.3,볼 운반형,0.3,38.2,37.8
15937e17,Eray Cömert,2022,DF,23.0,408.0,Valencia,La Liga,False,62.9,34.4,17.7,65.7,32.3,41.1,빌드업 수비수,0.9,43.1,42.1
15937e17,Eray Cömert,2023,DF,24.0,691.0,Valencia,La Liga,True,59.8,33.4,36.5,44.3,59.6,48.2,스토퍼,0.36,52.7,50.4
15944afd,Eliot Matazo,2021,MF,18.0,314.0,Monaco,Ligue 1,False,74.2,14.4,50.7,50.0,43.2,42.1,수비형 파괴자,0.42,42.5,42.3
15944afd,Eliot Matazo,2022,MF,19.0,790.0,Monaco,Ligue 1,True,12.9,50.4,13.1,63.2,49.3,39.7,볼 운반형,0.62,41.0,40.4
15944afd,Eliot Matazo,2023,MF,20.0,355.0,Monaco,Ligue 1,False,18.7,9.2,4.7,38.8,29.4,18.7,볼 운반형,0.08,15.7,17.2
